symbol,name,sector,security_type,board,index_membership,effective_date,end_date,source
6690.HK,HAIER SMARTHOME (H),Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
6862.HK,HAIDILAO,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9618.HK,JD - SW,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9633.HK,NONGFU SPRING (H),Consumer Staples,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9660.HK,HORIZONROBOT - W,Information Technology,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9868.HK,XPENG - W,Consumer Discretionary,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9888.HK,BIDU - SW,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9901.HK,NEW ORIENTAL - S,Consumer Discretionary and Consumer Staples,Common Stock,Main Board,HSI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9926.HK,AKESO,Healthcare,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9961.HK,TRIP.COM - S,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9987.HK,YUM CHINA,Consumer Discretionary,Common Stock,Main Board,HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9988.HK,BABA - W,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9992.HK,POP MART,Consumer Discretionary,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
9999.HK,NTES - S,Information Technology,Common Stock,Main Board,HSI|HSCEI,2026-06-08,,https://www.hsi.com.hk/static/uploads/contents/en/news/pressRelease/20260522T174500.pdf
